Manufacturer,Model,Fuel capacity,Fuel efficiency,Price in thousands,Wheelbase
Nissan       ,Altima           ,15.9,25,20.39,103.1
Nissan       ,Maxima           ,18.5,25,26.249,108.3
Nissan       ,Quest            ,20,21,26.399,112.2
Nissan       ,Pathfinder       ,21,19,29.299,106.3
Nissan       ,Xterra           ,19.4,18,22.799,104.3
Nissan       ,Frontier         ,19.4,18,17.89,116.1
Oldsmobile   ,Cutlass          ,15.2,25,18.145,107
Oldsmobile   ,Intrigue         ,18,,24.15,109
Oldsmobile   ,Alero            ,15,27,18.27,107
Oldsmobile   ,Aurora           ,18.5,22,36.229,113.8
Oldsmobile   ,Bravada          ,17.5,19,31.598,107
Oldsmobile   ,Silhouette       ,25,22,25.345,120
Plymouth     ,Neon             ,12.5,29,12.64,105
Plymouth     ,Breeze           ,16,27,16.08,108
Plymouth     ,Voyager          ,20,24,18.85,113.3
Plymouth     ,Prowler          ,12,21,43,113.3
Pontiac      ,Sunfire          ,15,27,21.61,104.1
Pontiac      ,Grand Am         ,15.2,25,19.72,107
Pontiac      ,Firebird         ,16.8,25,25.31,101.1
Pontiac      ,Grand Prix       ,18,25,21.665,110.5
Pontiac      ,Bonneville       ,17.5,24,23.755,112.2
Pontiac      ,Montana          ,25,23,25.635,120
Porsche      ,Boxter           ,17,22,41.43,95.2
Porsche      ,Carrera Coupe    ,17,21,71.02,92.6
Porsche      ,Carrera Cabriolet,17,23,74.97,92.6
Saab         ,05-Sep,18.5,23,33.12,106.4
Saab         ,03-Sep,16.9,23,26.1,102.6
Saturn       ,SL               ,12.1,33,10.685,102.4
Saturn       ,SC               ,12.1,33,12.535,102.4
Saturn       ,SW               ,12.1,31,14.29,102.4
Saturn       ,LW               ,13.1,27,18.835,106.5
Saturn       ,LS               ,13.1,28,15.01,106.5
Subaru       ,Outback          ,16.9,25,22.695,103.5
Subaru       ,Forester         ,15.9,24,20.095,99.4
Toyota       ,Corolla          ,13.2,33,13.108,97
Toyota       ,Camry            ,18.5,27,17.518,105.2
Toyota       ,Avalon           ,18.5,26,25.545,107.1
Toyota       ,Celica           ,14.5,31,16.875,102.4
Toyota       ,Tacoma           ,15.1,23,11.528,103.3
Toyota       ,Sienna           ,20.9,22,22.368,114.2
Toyota       ,RAV4             ,15.3,27,16.888,94.9
Toyota       ,4Runner          ,18.5,23,22.288,105.3
Toyota       ,Land Cruiser     ,25.4,15,51.728,112.2
Volkswagen   ,Golf             ,14.5,26,14.9,98.9
Volkswagen   ,Jetta            ,14.5,26,16.7,98.9
Volkswagen   ,Passat           ,16.4,27,21.2,106.4
Volkswagen   ,Cabrio           ,13.7,26,19.99,97.4
Volkswagen   ,GTI              ,14.6,26,17.5,98.9
Volkswagen   ,Beetle           ,14.5,26,15.9,98.9
Volvo        ,S40              ,15.8,25,23.4,100.5
Volvo        ,V40              ,15.8,25,24.4,100.5
Volvo        ,S70              ,17.9,25,27.5,104.9
Volvo        ,V70              ,17.9,25,28.8,104.9
Volvo        ,C70              ,18.5,23,45.5,104.9
Volvo        ,S80              ,21.1,24,36,109.9
